,train_time,dataset,test_acc,inside_labels,nb_epochs,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold
test_cifar_2lavels_3_v1,17.094769954681396,cifar10,0.819,"[8, 9]",25.0,0.517,0.0034004119327037097,0.6669725153271885,0.37982153061907364,0.5191250000000001,0.07496781874966876,0.6666666666666666,3.037263579703305
test_cifar_5labels_1_v1,80.84014797210693,cifar10,0.5846,"[0, 2, 4, 6, 8]",50.0,0.5612,0.12136237983442417,0.6720422434708149,0.1309535020482665,0.5378000000000001,0.5994842503189421,0.6677374021280867,1.5710723892474487
test_cifar_5labels_2_v1,67.84439158439636,cifar10,0.5922,"[1, 3, 5, 7, 9]",50.0,0.5942000000000001,0.09418331534647961,0.6669336002669336,0.16451905877536607,0.6155999999999999,0.9704808877380287,0.6666666666666666,3.037263579703305
test_cifar_5labels_3_v1,67.76822018623352,cifar10,0.6184,"[0, 1, 2, 3, 4]",50.0,0.554,0.10691263391734772,0.6666666666666666,3.037263579703305,0.5405,0.6468607661546321,0.6666666666666666,3.037263579703305
test_cifar_8labels_1_v1,170.87642168998718,cifar10,0.538625,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.532875,0.0872852662384837,0.6666666666666666,3.037263579703305,0.5038750000000001,0.00018418966807997109,0.6666666666666666,3.037263579703305
test_cifar_8labels_2_v1,158.43675088882446,cifar10,0.562,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.586375,0.055302242561929116,0.6667222755140342,0.1343161170046018,0.6076250000000001,0.9461848194721992,0.6668889629876625,2.024446509976802
test_cifar_8labels_3_v1,158.4487419128418,cifar10,0.55375,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.5371250000000001,0.091825428356563,0.6668336464203715,0.12767507043192644,0.5025625,0.00019377033374779888,0.6667778240933722,2.024446509976802
test_cifar_2labels_1_v2,15.950312376022339,cifar10,0.8475,"[0, 1]",25.0,0.6121249999999999,0.013369837418249453,0.6668611678406202,0.3895745615775501,0.6170625000000001,0.02934049709215781,0.6666666666666666,3.037263579703305
test_cifar_2labels_2_v2,15.96229100227356,cifar10,0.7835,"[2, 7]",25.0,0.5618124999999999,0.07309099328602918,0.6668613625933497,0.39957803018952653,0.564,0.10691263391734772,0.6666666666666666,3.037263579703305
test_cifar_2lavels_3_v2,17.682570457458496,cifar10,0.815,"[8, 9]",25.0,0.5174375,0.006915758828738525,0.6666666666666666,3.037263579703305,0.5206875,0.01722805447131392,0.6666666666666666,3.037263579703305
test_cifar_5labels_1_v2,67.58673977851868,cifar10,0.605,"[0, 2, 4, 6, 8]",50.0,0.583,0.11536181017364762,0.6745527132929174,0.1309535020482665,0.5512,0.5416686911033157,0.6666666666666666,3.037263579703305
test_cifar_5labels_2_v2,67.70144701004028,cifar10,0.555,"[1, 3, 5, 7, 9]",50.0,0.589,0.09418331534647961,0.6667555674089879,0.17307655341957276,0.6145999999999998,0.8549327066268367,0.6666666666666666,3.037263579703305
test_cifar_5labels_3_v2,67.34462451934814,cifar10,0.6192,"[0, 1, 2, 3, 4]",50.0,0.558,0.10423606739764033,0.6669781099839829,0.1775208011717636,0.5467,0.8994022174092053,0.6668451345201446,1.5710723892474487
test_cifar_8labels_1_v2,158.05340337753296,cifar10,0.5535,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.5286875,0.091825428356563,0.6666666666666666,3.037263579703305,0.5054375,1.9243509752303323,0.6668899120971118,1.9737643263002553
test_cifar_8labels_2_v2,160.2287302017212,cifar10,0.58525,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.5953124999999999,0.0712611543011176,0.6667777962993833,0.16874356777273722,0.6128750000000001,0.9461848194721992,0.6669449430229161,2.024446509976802
test_cifar_8labels_3_v2,157.906991481781,cifar10,0.55975,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.554,0.08952657125996383,0.6679089578064688,0.09908228099003788,0.5131875,1.8292045048462902,0.6673974450862179,1.9243509752303323
